"Collection #","Longitude","Latitude","Time","Date","Temperature","Salinity"
"CHM000151",-82.1625,26.72,10:55:00,1-Mar-00,22.4,33.8
"CHM000152",-82.103833,26.651833,12:40:00,1-Mar-00,24.8,30.3
"CHM000153",-82.087333,26.644833,13:40:00,1-Mar-00,25.1,30.1
"CHM000154",-82.083167,26.671167,14:40:00,1-Mar-00,26,30.4
"CHM000175",-82.197833,26.688167,10:00:00,8-Mar-00,22.2,35.05
"CHM000176",-82.191333,26.667333,11:00:00,8-Mar-00,22.7,35.25
"CHM000177",-82.178833,26.774667,13:00:00,8-Mar-00,23,31.85
"CHM000178",-82.240667,26.787833,14:00:00,8-Mar-00,23.9,35.9
"CHM000184",-82.19,26.625167,10:35:00,13-Mar-00,19.65,35.6
"CHM000185",-82.1935,26.547167,12:20:00,13-Mar-00,23,35.4
"CHM000186",-82.134333,26.5915,13:40:00,13-Mar-00,23.2,36.1
"CHM000187",-82.1435,26.608667,14:30:00,13-Mar-00,23.6,36
"CHM000196",-82.189167,26.968667,10:20:00,15-Mar-00,21.75,26.1
"CHM000197",-82.167,26.936,11:20:00,15-Mar-00,22.2,28.2
"CHM000198",-82.1205,26.9465,12:55:00,15-Mar-00,23.8,27.6
"CHM000199",-82.097167,26.953667,13:50:00,15-Mar-00,23.2,27.6
"CHM000200",-82.117667,26.959833,14:35:00,15-Mar-00,23.7,27
"CHM000227",-82.245667,26.704667,11:20:00,3-Apr-00,25.2,35.35
"CHM000229",-82.230167,26.683333,13:15:00,3-Apr-00,25.3,35.9
"CHM000233",-82.258333,26.763333,10:10:00,4-Apr-00,25.7,35.9
"CHM000236",-82.180833,26.804667,13:20:00,4-Apr-00,26,33
"CHM000239",-82.015833,26.958833,10:10:00,6-Apr-00,21.2,18.1
"CHM000240",-82.012333,26.958333,10:50:00,6-Apr-00,21.45,17.65
"CHM000241",-82.187333,26.938333,12:45:00,6-Apr-00,22.4,27.4
"CHM000242",-82.163667,26.931833,13:50:00,6-Apr-00,24.1,29.4
"CHM000243",-82.167167,26.885667,14:55:00,6-Apr-00,24,30.8
"CHM000244",-82.063333,26.793333,10:00:00,10-Apr-00,21.05,32.6
"CHM000245",-82.077167,26.649667,12:30:00,10-Apr-00,21.8,32.4
"CHM000246",-82.082167,26.637833,13:35:00,10-Apr-00,21.3,32.25
"CHM000247",-82.103833,26.6585,14:30:00,10-Apr-00,21.7,32.9
"CHM000284",-82.195,26.6575,10:15:00,19-Apr-00,23.9,35.6
"CHM000285",-82.179833,26.611167,11:45:00,19-Apr-00,25.1,35.8
"CHM000286",-82.135167,26.592833,13:30:00,19-Apr-00,25.15,36.85
"CHM000287",-82.147167,26.6515,14:40:00,19-Apr-00,26.2,37.8
"CHM000321",-82.238833,26.969333,10:10:00,8-May-00,25.1,27.1
"CHM000322",-82.0575,26.8705,12:00:00,8-May-00,25.85,32.05
"CHM000323",-82.070833,26.884167,13:05:00,8-May-00,26.8,31.8
"CHM000324",-82.029833,26.949667,14:45:00,8-May-00,27.65,28.05
"CHM000325",-82.011,26.952333,15:55:00,8-May-00,26.75,27.15
"CHM000326",-82.191667,26.629333,10:20:00,9-May-00,26.85,36.5
"CHM000327",-82.18,26.611333,11:00:00,9-May-00,27.1,36.15
"CHM000328",-82.119167,26.5195,13:35:00,9-May-00,28.5,30.7
"CHM000329",-82.103,26.524833,14:55:00,9-May-00,29,33.9
"CHM000330",-82.155833,26.718833,10:10:00,10-May-00,26.5,34.7
"CHM000331",-82.115,26.6855,11:50:00,10-May-00,27.45,30.85
"CHM000332",-82.088833,26.685,12:45:00,10-May-00,28.8,32.6
"CHM000333",-82.064833,26.642833,14:20:00,10-May-00,29.9,24.9
"CHM000334",-82.259,26.763,9:35:00,11-May-00,28,36.6
"CHM000335",-82.2405,26.692,10:50:00,11-May-00,28.1,36.25
"CHM000336",-82.192833,26.709833,12:30:00,11-May-00,29.35,35.8
"CHM000337",-82.1635,26.810333,13:40:00,11-May-00,30.7,37
"CHM000409",-82.228833,26.961333,10:55:00,13-Jun-00,28.35,28.45
"CHM000410",-82.12,26.9475,12:30:00,13-Jun-00,29.4,31.7
"CHM000411",-82.0975,26.953333,13:15:00,13-Jun-00,29.6,32.2
"CHM000412",-82.100333,26.955333,14:00:00,13-Jun-00,30,32.2
"CHM000413",-82.133333,26.710667,10:00:00,14-Jun-00,28.45,33.95
"CHM000414",-82.129667,26.695,10:40:00,14-Jun-00,29,31.8
"CHM000415",-82.115667,26.686667,11:30:00,14-Jun-00,29.4,30.7
"CHM000416",-82.058667,26.781667,13:25:00,14-Jun-00,29.7,32.4
"CHM000417",-82.118667,26.528333,10:40:00,15-Jun-00,29.8,32.2
"CHM000418",-82.144,26.6245,11:50:00,15-Jun-00,29.7,36.3
"CHM000419",-82.166667,26.616167,13:25:00,15-Jun-00,29.9,35.2
"CHM000420",-82.18,26.632167,14:25:00,15-Jun-00,30.4,36.3
"CHM000421",-82.2225,26.8035,9:40:00,19-Jun-00,29.5,37.2
"CHM000422",-82.229167,26.7945,10:40:00,19-Jun-00,30.1,36.6
"CHM000423",-82.190333,26.783,12:05:00,19-Jun-00,31.2,34.2
"CHM000424",-82.153167,26.827667,13:15:00,19-Jun-00,30.7,32.3
"CHM000425",-82.2485,26.766333,14:40:00,19-Jun-00,31.4,35.4
