Predator,Prey,Pred Taxon,Prey Taxon,Feeding Link?,Specificity,Reference,Notes
Alloclinus holderi,Amphipod tube mat ,Other Fish,Amphipod,1,Species,Quast 1968,
Alloclinus holderi,Sabellid Worm ,Other Fish,Polychaetes,1,Species,Hobson and Chess 2001,
Anisotremus davidsonii,Barnacle spp.,Other Fish,Barnacle,1,Species,Tullis et al.1981,
Anisotremus davidsonii,Cancer spp.,Other Fish,Crabs & Lobsters,1,Group,Quast 1968,small crustaceans
Anisotremus davidsonii,Cirriformia luxuriosa,Other Fish,Polychaetes,1,Group,Tullis et al.1981,
Anisotremus davidsonii,Cypraea spadicea,Other Fish,Gastropods,1,Group,Quast 1968,small mollusks
Anisotremus davidsonii,Diaperoecia californica,Other Fish,Polychaetes,1,Group,Tullis et al.1981,
Anisotremus davidsonii,Diopatra ornata,Other Fish,Polychaetes,1,Group,Tullis et al.1981,
Anisotremus davidsonii,Dodecaceria fewkesi,Other Fish,Polychaetes,1,Group,Tullis et al.1981,
Anisotremus davidsonii,Phragmatopoma californica,Other Fish,Polychaetes,1,Group,Tullis et al.1981,
Anisotremus davidsonii,Pista elongata,Other Fish,Polychaetes,1,Group,Tullis et al.1981,
Anisotremus davidsonii,Pugettia producta,Other Fish,Crabs & Lobsters,1,Group,Quast 1968,small crustaceans
Anisotremus davidsonii,Sabellid Worm ,Other Fish,Polychaetes,1,Group,Tullis et al.1981,
Anisotremus davidsonii,Salmacina tribranchiata,Other Fish,Polychaetes,1,Group,Tullis et al.1981,
Anisotremus davidsonii,Tegula spp.,Other Fish,Gastropods,1,Group,Quast 1968,small mollusks
Anthopleura sola,Encrusting Bryozoan spp.,Anemoneas,Bryozoan,1,Species,S. Anderson pers. obs.,
Anthopleura sola,Unidentified compound tunicate ,Anemoneas,Tunicates,1,Species,S. Anderson pers. obs.,
Aplysia californica,Acrosorium uncinatum,Sea Hare,Algae,1,Species,Winkler and Dawson 1963,
Aplysia californica,Codium fragile,Sea Hare,Algae,1,Species,"Pennings 1962, Kupfermann and Carew 1974, Pennings 1990",
Aplysia californica,Colpomenia spp.,Sea Hare,Algae,1,Species,Kupfermann and Carew 1974,
Aplysia californica,Corallina officinalis,Sea Hare,Algae,1,Genus,Winkler and Dawson 1963,
Aplysia californica,Cystoseira osmundacea,Sea Hare,Algae,0,Species,Winkler and Dawson 1963,
Aplysia californica,Egregia menziesii,Sea Hare,Algae,1,Species,Leighton 1966,
Aplysia californica,Eisenia arborea,Sea Hare,Algae,1,Species,"Pennings 1962, Kupfermann and Carew 1974",
Aplysia californica,Encrusting red algae spp.,Sea Hare,Algae,1,Group,Winkler and Dawson 1963,
Aplysia californica,Filamentous brown spp.,Sea Hare,Algae,1,Species,Pennings 1962,
Aplysia californica,Filamentous green spp.,Sea Hare,Algae,1,Group,Winkler and Dawson 1963,
Aplysia californica,Filamentous red spp.,Sea Hare,Algae,1,Group,Winkler and Dawson 1963,
Aplysia californica,Gelidium robustum,Sea Hare,Algae,1,Species,Winkler and Dawson 1963,
Aplysia californica,Laminaria farlowii,Sea Hare,Algae,1,Species,Kupfermann and Carew 1974,
Aplysia californica,Laurencia spectabilis,Sea Hare,Algae,1,Species,"Pennings 1962, Pennings 1990, Korb 2003",
Aplysia californica,Laurencia spp.,Sea Hare,Algae,1,Species,"Pennings 1962, Pennings 1990, Korb 2003",
Aplysia californica,Lithothrix spp.,Sea Hare,Algae,1,Species,Winkler and Dawson 1963,
Aplysia californica,Macrocystis pyrifera,Sea Hare,Algae,1,Species,Kupfermann and Carew 1974,
Aplysia californica,Phyllospadix torreyi,Sea Hare,Seagrass,1,Species,Winkler and Dawson 1963,
Aplysia californica,Prionitis lanceolata,Sea Hare,Algae,0,Species,Winkler and Dawson 1963,
Aplysia californica,Pterygophora californica,Sea Hare,Algae,1,Species,Leighton 1966,
Aplysia californica,Red Algal Turf spp.,Sea Hare,Algae,1,Species,Winkler and Dawson 1963,
Aplysia californica,Rhodymenia californica,Sea Hare,Algae,0,Species,Winkler and Dawson 1963,
Aplysia californica,Rhodymenia pacifica,Sea Hare,Algae,0,Species,Winkler and Dawson 1963,
Aplysia californica,Sargassum muticum,Sea Hare,Algae,1,Species,Pennings 1962,
Aplysia californica,Ulva spp.,Sea Hare,Algae,1,Species,"Kupfermann and Carew 1974, Pennings 1990",
Aplysia californica,Unidentified erect coralline spp.,Sea Hare,Algae,1,Species,Winkler and Dawson 1963,
Aplysia vaccaria,Blade Unidentified kelp juveniles ,Sea Hare,Algae,1,Group,M. Raith pers. obs.,
Aplysia vaccaria,Blady red spp.,Sea Hare,Algae,0,Group,M. Raith pers. obs.,
