Family and Species      ,Natural host Ficus species,Voucher,Sampling location,Cytb,COI,EF,Wg,28S,18S
Agaonidae,,,,,,,,,
"Agaon fasciatum Waterston, 1914   ",F. cyathistipula cyathistipula,2473_01,Zambia,GQ368056,GQ367961,JN103108,GQ368154, ,GQ367673
"Agaon obtusum Wiebes, 1989   ",F. cyathistipuloides,0450_01,Ivory Coast,JN103132,,,,JN102819 ,
Agaon sp.     ,F. scott-elliotii,0942_01,Ivory Coast,JN103137,,,, ,
Agaon sp.     ,F. preussii,1938_01,Cameroun,GQ368036,GQ367939,JN103058,GQ368132,GQ367843 / GQ367750 ,GQ367649
"Agaon spatulatum Wiebes, 1968   ",F. lyrata,1925_01,Cameroun,GQ368029,GQ367932,JN103051,GQ368125,GQ367836 / GQ367743 ,GQ367641
"Agaon taiense Wiebes, 1989   ",F. tesselata,2189_02,Gabon,GQ368050,GQ367956,,GQ368147,GQ367764,GQ367666
"Alfonsiella longiscapa Joseph, 1959   ",F. natalensis natalensis,2474_01,Mozambique,GQ368057,GQ367962,JN103109,JN102800,GQ367866 / GQ367771,GQ367674
"Alfonsiella pipithiensis van Noort, 2007  ",F. craterostoma,2475_01,South Africa,GQ368058,GQ367963,JN103110,GQ368155,GQ367867 / GQ367772,GQ367675
Alfonsiella sp.     ,F. thonningii,1935_01,Cameroun,GQ368033,GQ367936,JN103055,GQ368128,GQ367840 / GQ367746 ,GQ367645
"Allotriozoon heterandromorphum Grandi, 1916   ",F. lutea,2602_01,South Africa,JN103227,JN103319,JN103118,JN102807,JN102891 / JN102743,JN102975
"Allotriozoon nigeriense Wiebes, 1974   ",F. chlamydocarpa fernandesiana,0988_01,Sao Tome,,,,,JN102826 / JN102679,
"Blastophaga nipponica Grandi, 1921   ",F. erecta,2381_01,Japan,JN103217,JN103309,JN103104,,JN102881,JN102966
"Blastophaga psenes (L., 1758)   ",F. carica,1536_01,France,,GQ367895,JN103013,GQ368085,GQ367799 / GQ367703 ,GQ367602
"Blastophaga quadrupes (Mayr, 1885)   ",F. deltoidea,1879_01,Malaysia,GQ368024,GQ367927,JN103047,GQ368120,GQ367831 / GQ367738 ,GQ367636
Blastophaga sp.     ,F. ischnopoda,1673_01,China,JN103160,JN103262,JN103024,JN102761,JN102842 / JN102696,JN102917
Blastophaga sp.     ,F. stenophylla,1675_01,China,JN103161,JN103263,,JN102762,JN102843 / JN102697,JN102918
Blastophaga sp.     ,F. chapaensis,1757_02,China,GQ368005,,JN103029,GQ368101,GQ367815 / GQ367719 ,GQ367617
Blastophaga sp.     ,F. oleifolia,1992_01,Malaysia,,JN103270,JN103064,JN102773, ,JN102929
"Ceratosolen abnormis Wiebes, 1963   ",F. dammaropsis,8056_01a,Papua New Guinea,,AF200390,,,AY616532,
"Ceratosolen acutatus Mayr, 1906   ",F. vogeliana,0453_21,Ivory Coast,,JN103240,JN102989,JN102750,JN102820 / JN102676,
"Ceratosolen albulus Wiebes, 1963   ",F. uncinata,1328_01,Malaysia,JN103144,JN103248,JN103004,,JN102830 / JN102684,JN102905
"Ceratosolen appendiculatus (Mayr, 1885)   ",F. variegata,1423_01,Australia,GQ367987,JN103252,JN103011,GQ368080,GQ367794 / GQ367698 ,GQ367597
"Ceratosolen arabicus Mayr, 1906   ",F. mucuso,2191_01,Gabon,GQ368052,JN103289,JN103087,GQ368149,GQ367861 / GQ367766,GQ367668
"Ceratosolen armipes Wiebes, 1963   ",F. itoana,1531_01,Papua New Guinea,JN103152,JN103254,,, ,JN102909
"Ceratosolen blommersi Wiebes, 1989   ",F. botryoides,2463_01,Madagascar,JN103219,JN103311,JN103106,JN102798,JN102883 / JN102735,JN102968
"Ceratosolen brongersmai Wiebes, 1963   ",F. treubii,1324_01,Malaysia,JN103143,JN103247,JN103003,,JN102829 / JN102683,JN102904
"Ceratosolen cf. adenospermae Wiebes, 1965  ",F. adenosperma,1246_01,Vanuatu Islands,GQ367969,GQ367873,JN102997,GQ368065, ,GQ367579
"Ceratosolen cf. emarginatus Mayr, 1906  ",F. hainanensis,1606_01,China,JN103154,JN103256,JN103017,JN102759,JN102838 / JN102692,JN102911
"Ceratosolen cf. emarginatus Mayr, 1906  ",F. oligodon,1910_01,China,GQ368027,GQ367930,JN103050,GQ368123,GQ367834 / GQ367741 ,GQ367639
"Ceratosolen cf. hooglandi Wiebes, 1963  ",F. bernaysii,2353_01,Indonesia,JN103213,JN103304,,,JN102878,
"Ceratosolen coecus (Coquerel, 1855)   ",F. mauritiana,0659_23,La Réunion,JN103133,JN103241,JN102990,JN102751,JN102821 ,
"Ceratosolen constrictus (Mayr, 1885)   ",F. fistulosa,2286_01,Indonesia,JN103204,JN103295,,,JN102870 / JN102725,JN102954
"Ceratosolen corneri Wiebes, 1963   ",F. botryocarpa,2319_01,Indonesia,JN103209,JN103300,JN103096,,JN102874 / JN102729,JN102958
"Ceratosolen crassitarsus (Mayr, 1885)   ",F. ribes,2193_01,Indonesia,JN103198,JN103290,JN103088,,JN102865 / JN102720,JN102949
"Ceratosolen dentifer Wiebes, 1963   ",F. hispidioides,8053_01a,Papua New Guinea,,AF200387,,,AY616538,
"Ceratosolen emarginatus Mayr, 1906   ",F. auriculata,2654_01,China,JN103236,JN103327,JN103128,,JN102894 / JN102746,JN102985
"Ceratosolen flabellatus Girault, 1916   ",F. sur,1810_01,Burkina Faso,JN103173,JN103267,JN103036,JN102770,JN102846 ,JN102926
"Ceratosolen fusciceps (Mayr, 1885)   ",F. racemosa,2028_01,Indonesia,JN103177,JN103272,JN103066,JN102775, ,JN102931
"Ceratosolen galili Wiebes, 1964   ",F. sycomorus,1532_06,South Africa,GQ367989,GQ367893,JN103012,GQ368083,GQ367797 / GQ367701 ,GQ367600
"Ceratosolen gravelyi Grandi, 1916   ",F. semicordata,0855_12,China,JN103134,JN103243,JN102992,JN102753,JN102823 / JN102678,
"Ceratosolen hewitti Waterston, 1921   ",F. fistulosa,1446_01,China,GQ367989,JN103253,,,JN102836 / JN102690,JN102908
Ceratosolen kaironkensis nom. provis   ,F. microdictya,8503_01a,Papua New Guinea,,AF200392,,, ,
"Ceratosolen medlerianus Wiebes, 1980   ",F. mollior,2312_01,Indonesia,JN103208,JN103299,JN103095,JN102791,JN102873 / JN102728,
"Ceratosolen megacephalus Grandi, 1917   ",F. vallis-choudae,1929_01,Cameroun,GQ368030,GQ367933,JN103052,GQ368126,GQ367837 / GQ367744 ,GQ367642
"Ceratosolen nanus Wiebes, 1963   ",F. pungens,2292_01,Indonesia,JN103206,JN103297,JN103094,, ,JN102956
"Ceratosolen nexilis Wiebes, 1980   ",F. nodosa,2356_01,Indonesia,JN103214,JN103305,JN103100,,JN102879,JN102962
"Ceratosolen notus (Baker, 1913)   ",F. nota,8184_01a,Philippines,,AY014987,,,AY616545,
Ceratosolen riparianus nom. provis   ,F. ochrochlora,8050_01a,Papua New Guinea,,AF200384,,, ,
"Ceratosolen solitarius Wiebes, 1980   ",F. arfakensis,8321_01a,Papua New Guinea,,DQ679084,,, ,
Ceratosolen sp.,F. semivestita,8222_01a,Papua New Guinea,,,,,AY616540,
Ceratosolen sp.     ,F. prostrata,0820_01,China,,JN103242,JN102991,JN102752,JN102822 / JN102677,JN102898
Ceratosolen sp.     ,F. bukitrayaensis,1319_01,Malaysia,JN103141,JN103246,JN103001,,JN102828 / JN102681,JN102902
Ceratosolen sp.     ,F. tikoua,1628_01,China,JN103155,JN103257,,, ,JN102912
Ceratosolen sp.     ,F. squamosa,1658_01,China,JN103158,JN103260,JN103022,,JN102841 / JN102695,JN102915
Ceratosolen sp.     ,F. septica,1683_01,Taiwan,GQ368002,GQ367906,JN103026,GQ368097,GQ367811 / GQ367715 ,GQ367614
Ceratosolen sp.     ,F. heterostyla,1753_01,China,JN103164,JN103264,JN103028,JN102763,JN102698,JN102919
Ceratosolen sp.     ,F. stolonifera,1986_01,Malaysia,GQ368042,GQ367945,JN103062,,GQ367849 / GQ367754 ,GQ367655
Ceratosolen sp.     ,F. hispida,2053_01,Indonesia,JN103178,JN103273,JN103067,,JN102848 / JN102705,JN102932
Ceratosolen sp.     ,F. subcuneata,2195_01,Indonesia,JN103199,GQ367957,JN103089,GQ368150,GQ367862 / GQ367767,GQ367669
Ceratosolen sp.     ,F. pachyrrhachis,2198_01,Indonesia,JN103200,JN103291,JN103090,JN102787,JN102866 / JN102721,JN102950
Ceratosolen sp.     ,F. congesta,2293_01,Indonesia,JN103207,JN103298,,,JN102872 / JN102727,JN102957
Ceratosolen sp.     ,F. arbuscula,2349_01,Indonesia,JN103211,JN103302,JN103098,JN102793,JN102876 / JN102731,JN102960
Ceratosolen sp.     ,F. erythrosperma,2539_01,Solomon Islands,JN103225,JN103317,JN103116,JN102805,JN102889 / JN102741,
Ceratosolen sp.     ,F. adelpha,8320_01a,Papua New Guinea,DQ873815,DQ679081,,, ,
Ceratosolen sp.     ,F. morobensis,8344_01a,Papua New Guinea,DQ873817,DQ679135,,, ,
"Ceratosolen stupefactus Wiebes, 1989   ",F. tiliifolia,1816_01,Madagascar,GQ368011,GQ367914,JN103038,GQ368107,GQ367819 / GQ367725 ,GQ367623
"Ceratosolen vechti Wiebes, 1963   ",F. lepicarpa,1866_01,Malaysia,GQ368018,GQ367921,JN103042,GQ368114,GQ367825 / GQ367732 ,GQ367630.
"Ceratosolen vetustus Wiebes, 1994   ",F. schwarzii,1989_01,Malaysia,GQ368044,GQ367947,JN103063,GQ368139,GQ367851 ,GQ367657
"Ceratosolen vissali Wiebes, 1981   ",F. theophrastoides,2485_01,Solomon Islands,JN103221,JN103313,JN103112,JN102802,JN102885 / JN102737,JN102970
Ceratosolen waliensis nom. provis   ,F. robusta,1380_01,Papua New Guinea,JN103149,JN103250,JN103009,,JN102834 / JN102688,
"Courtella armata (Wiebes, 1974)   ",F. sansibarica sansibarica,2605_01,South Africa,JN103228,JN103320,JN103119,JN102808,JN102744,JN102976
"Courtella bekiliensis (Risbec, 1956)   ",F. polita,1946_01,Madagascar,JN103175,JN103268,JN103059,JN102771,JN102703,JN102927
Courtella burrowsae nom. provis   ,F. modesta,2608_01,South Africa,JN103229,JN103321,JN103120,JN102809, ,JN102977
"Courtella hamifera Kieffer, 1911   ",F. ovata,1930_01,Cameroun,GQ368031,GQ367934,JN103053,GQ368127,GQ367838 ,GQ367643
"Courtella hladikae (Wiebes, 1979)   ",F. artocarpoides,1934_01,Cameroun,GQ368032,GQ367935,JN103054,,GQ367839 / GQ367745 ,GQ367644
