REF_ID,GAME_ID,DATA_SOURCE_TYPE,THESIS_TYPE,REF_TAG,AUTH_L_NAME,AUTH_SUFFIX,AUTH_F_NAME,AUTH_M_INIT,AUTH_EMAIL,AUTH_PHONE,AUTH_COUNTRY_CODE,AUTH_NOTES,YEAR_PUB,TITLE_REF,EDITOR_L_NAME,EDITOR_F_NAME,EDITOR_M_INIT,SOURCE_NAME,VOL,NUM,START_PAGE,END_PAGE,DOI,PUB_NAME,PUB_CITY,PUB_STATE,PUB_COUNTRY,UNIV_NAME,UNIV_CITY,UNIV_STATE,UNIV_COUNTRY,NUM_SPECIES_EXAM,REF_NOTES
16r,3017,T,PhD  ,Rogers 1977,Rogers,Jr.,Robert,M,NA,NA,NA,NA,1977,Trophic interrelationships of selected fishes on the continental shelf of the northern Gulf of Mexico,NA,NA,NA,,,NA,1,244,,NA,NA,NA,NA,Texas A&M University,College Station,TX,United States,26,NA
24d,2689,PL,NA,Divita et al 1983,Divita,NA,Regina,NA,NA,NA,NA,NA,1983,"Foods of coastal fishes during brown shrimp Penaeus aztecus, migration from Texas estuaries (June - July 1981). ",NA,NA,NA,Fisheries Bulletin,81,2,396,404,,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
24d,2689,PL,NA,Divita et al 1983,Creel,NA,Mischelle,NA,NA,NA,NA,NA,1983,"Foods of coastal fishes during brown shrimp Penaeus aztecus, migration from Texas estuaries (June - July 1981). ",NA,NA,NA,Fisheries Bulletin,81,2,396,404,,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
24d,2689,PL,NA,Divita et al 1983,Sheridan,NA,Peter,F,NA,NA,NA,NA,1983,"Foods of coastal fishes during brown shrimp Penaeus aztecus, migration from Texas estuaries (June - July 1981). ",NA,NA,NA,Fisheries Bulletin,81,2,396,404,,NA,NA,NA,NA,NA,NA,NA,NA,81,NA
17b,2550,GR,NA,Beaumariage 1973,Beaumariage,NA,Dale,S,NA,NA,NA,NA,1973,"Age, growth, and reproduction of king mackerel, Scomberomorus cavalla, in Florida.  ",NA,NA,NA,Florida Marine Research Publications,NA,1,1,45,,"Marine Research Laboratory, Florida Department of Natural Resources",St. Petersburg,FL,US,NA,NA,NA,NA,1,NA
61b,3196,CR,NA,Blanton et al 1972,Blanton,NA,William,G,NA,NA,NA,NA,1972,The ecological impact of mercury discharge on an enclosed secondary bay,NA,NA,NA,Environment Monitors,NA,NA,1,231,,Texas Wesleyan College,Ft. Worth,TX,US,NA,NA,NA,NA,19,NA
61b,3196,CR,NA,Blanton et al 1972,Blanton,NA,Carolyn,J,NA,NA,NA,NA,1972,The ecological impact of mercury discharge on an enclosed secondary bay,NA,NA,NA,Environment Monitors,NA,NA,1,231,,Texas Wesleyan College,Ft. Worth,TX,US,NA,NA,NA,NA,19,NA
61b,3196,CR,NA,Blanton et al 1972,Robinson,NA,Michael,C,NA,NA,NA,NA,1972,The ecological impact of mercury discharge on an enclosed secondary bay,NA,NA,NA,Environment Monitors,NA,NA,1,231,,Texas Wesleyan College,Ft. Worth,TX,US,NA,NA,NA,NA,19,NA
41b,3179,T,PhD,Boschung 1957,Boschung,Jr.,Herbert,T,NA,NA,NA,NA,1957,The fishes of Mobile Bay and the Gulf coast of Alabama,NA,NA,NA,NA,NA,NA,1,626,NA,NA,,,,Univeristy of Alabama,Tuscaloosa,Alabama,United States,15,NA
40c,2633,GR,NA,Christmas et al 1974,Christmas,NA,J,Y,NA,NA,NA,NA,1974,Investigations of coastal pelagic fishes,NA,NA,NA,Completion Report,NA,NA,1,90,NA,Gulf Coast Research Laboratory,Ocean Springs,MS,US,NA,NA,NA,NA,7,NA
