System	NodeID	SpeciesID	StageID	Stage	SpeciesID.StageID	WorkingName	OrganismalGroup	NodeType	Resolution	ResolutionNotes	Feeding	Lifestyle(stage)	Lifestyle(species)	ConsumerStrategy(stage)	HabitatAffiliation	Mobility	Residency	NativeStatus	BodySize(g)	BodySizeSD	BodySizeN	BodySizeEstimation	BodySizeNotes	Abundance(no./ha)	Abundance95%CL	AbundanceDF	Biomass(kg/ha)	Biomass95%CL	BiomassDF	BiomassEstimation	BiomassNotes	Kingdom	Phylum	Subphylum	Superclass	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Genus	SpecificEpithet	NodeNotes
BSQ	1	1	1		1.1	carrion-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										0.0377902			field experience	estimate set = to SNEG														
CSM	1	1	1		1.1	carrion-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										0.0758358			field experience	estimate set = to SNEG														
EPB	1	1	1		1.1	carrion-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										0.0165971			field experience	estimate set = to SNEG														
BSQ	2	2	1		2.1	marine-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										108.06667			field experience	estimate 1/10 terrestrial detritus														
CSM	2	2	1		2.1	marine-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										239.53333			field experience	estimate 1/10 terrestrial detritus														
EPB	2	2	1		2.1	marine-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										4.0666667			field experience	estimate 1/10 terrestrial detritus														
BSQ	3	3	1		3.1	terrestrial-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										1080.6667			quantification, estuary-wide sampling	Kuris et al. (2008)														
CSM	3	3	1		3.1	terrestrial-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										2395.3333			quantification, estuary-wide sampling	Kuris et al. (2008)														
EPB	3	3	1		3.1	terrestrial-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										40.666667			quantification, estuary-wide sampling	Kuris et al. (2008)														
BSQ	4	4	1	adult	4.1	Saltwort	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										7319.3333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Bataceae	Batis	maritima	
EPB	4	4	1	adult	4.1	Saltwort	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										4718			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Bataceae	Batis	maritima	
CSM	5	5	1	adult	5.1	Salt Grass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										475.33333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Poaceae	Distichlis	spicata	
BSQ	6	6	1	adult	6.1	epipellic flora	microphytobenthos	taxon	assemblage	aggregated diverse assemblage of diatoms and cyanobacteria	autotroph	free-living	free-living	autotroph		low	resident										771.63			extrapolation from other estuary	extrapolated from csm														
CSM	6	6	1	adult	6.1	epipellic flora	microphytobenthos	taxon	assemblage	aggregated diverse assemblage of diatoms and cyanobacteria	autotroph	free-living	free-living	autotroph		low	resident										296.72			quantification, limited sampling	diatom samples from 3 csm channel sites and 4 csm flat sites (J. Lorda, unpublished)														
EPB	6	6	1	adult	6.1	epipellic flora	microphytobenthos	taxon	assemblage	aggregated diverse assemblage of diatoms and cyanobacteria	autotroph	free-living	free-living	autotroph		low	resident										847.14			extrapolation from other estuary	extrapolated from csm														
BSQ	7	7	1	adult	7.1	Alkali Heath	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										595.33333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Frankeneaceae	Frankenia	salina	
CSM	7	7	1	adult	7.1	Alkali Heath	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										900			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Frankeneaceae	Frankenia	salina	
EPB	7	7	1	adult	7.1	Alkali Heath	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										167.33333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Frankeneaceae	Frankenia	salina	
BSQ	8	8	1	adult	8.1	Fleshy Jaumea	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										929.33333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Asteraceae	Jaumea	carnosa	
CSM	8	8	1	adult	8.1	Fleshy Jaumea	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										4488.6667			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Asteraceae	Jaumea	carnosa	
EPB	8	8	1	adult	8.1	Fleshy Jaumea	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										1543.3333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Asteraceae	Jaumea	carnosa	
CSM	9	9	1	adult	9.1	California Sea Lavender	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										120.66667			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Plumbaginaceae	Limonium	californicum	
EPB	9	9	1	adult	9.1	California Sea Lavender	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										6.6666667			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Plumbaginaceae	Limonium	californicum	
BSQ	10	10	1	adult	10.1	macroalgae	macroalgae	taxon	assemblage	mostly the chlorophytes, Enteromorpha and Ulva	autotroph	free-living	free-living	autotroph		low	resident										794.15758			approximation, quantified ratio	abundance in point count transects relative to Jaumaea carnosa X Jc biomass X 0.10	Plantae													
CSM	10	10	1	adult	10.1	macroalgae	macroalgae	taxon	assemblage	mostly the chlorophytes, Enteromorpha and Ulva	autotroph	free-living	free-living	autotroph		low	resident										256.49524			approximation, quantified ratio	abundance in point count transects relative to Jaumaea carnosa X Jc biomass X 0.10	Plantae													
EPB	10	10	1	adult	10.1	macroalgae	macroalgae	taxon	assemblage	mostly the chlorophytes, Enteromorpha and Ulva	autotroph	free-living	free-living	autotroph		low	resident										912.32489			approximation, quantified ratio	abundance in point count transects relative to Jaumaea carnosa X Jc biomass X 0.10	Plantae													
BSQ	11	11	1	adult	11.1	Shore Grass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										848			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Poaceae	Monanthocloe	littoralis	
CSM	11	11	1	adult	11.1	Shore Grass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										1272			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Poaceae	Monanthocloe	littoralis	
EPB	11	11	1	adult	11.1	Shore Grass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										310			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Poaceae	Monanthocloe	littoralis	
BSQ	12	12	1	adult	12.1	phytoplankton	vascular plant	taxon	assemblage		autotroph	free-living	free-living	autotroph		low	resident										3155.9376			extrapolation from other estuary	densities from epb	Plantae													
CSM	12	12	1	adult	12.1	phytoplankton	vascular plant	taxon	assemblage		autotroph	free-living	free-living	autotroph		low	resident										1527.7309			extrapolation from other estuary	densities from epb	Plantae													
EPB	12	12	1	adult	12.1	phytoplankton	vascular plant	taxon	assemblage		autotroph	free-living	free-living	autotroph		low	resident										3384.7829			quantification, limited sampling	epb lagoon phytoplankton cell densities from  Montes-Hugo & Alvarez-Borrego 2007, assuming mean cell can be approximated by 50micron diameter sphere, tissue density of 1.1 g/mL, applied to aquatic habitat (chans, flats, pans, with mean depth of 0.5 m	Plantae													
BSQ	13	13	1	adult	13.1	roots	vascular plant	taxon	assemblage		autotroph	free-living	free-living	autotroph		low	resident										227215.97			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae													
CSM	13	13	1	adult	13.1	roots	vascular plant	taxon	assemblage		autotroph	free-living	free-living	autotroph		low	resident										180512.5			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae													
EPB	13	13	1	adult	13.1	roots	vascular plant	taxon	assemblage		autotroph	free-living	free-living	autotroph		low	resident										106141.67			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae													
BSQ	14	14	1	adult	14.1	Annual Pickleweed	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										4074.6667			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Chenopodiaceae	Salicornia	biglovii	
EPB	14	14	1	adult	14.1	Annual Pickleweed	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										1616			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Chenopodiaceae	Salicornia	biglovii	
BSQ	15	15	1	adult	15.1	Parish's Pickleweed	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										21.333333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Chenopodiaceae	Salicornia	subterminalis	
BSQ	16	16	1	adult	16.1	Pickleweed	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										10011.333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Chenopodiaceae	Salicornia	virginica	
CSM	16	16	1	adult	16.1	Pickleweed	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										38428.267			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Chenopodiaceae	Salicornia	virginica	
EPB	16	16	1	adult	16.1	Pickleweed	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										1958.2263			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Chenopodiaceae	Salicornia	virginica	
BSQ	17	17	1	adult	17.1	California Cordgrass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										1708.6667			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Poaceae	Spartina	foliosa	
EPB	17	17	1	adult	17.1	California Cordgrass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										9030			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Poaceae	Spartina	foliosa	
BSQ	18	18	1	adult	18.1	Suaeda	vascular plant	taxon	Genus		autotroph	free-living	free-living	autotroph		low	resident										2336			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Chenopodiaceae	Suaeda	spp.	
BSQ	19	19	1	adult	19.1	Arrowgrass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										27.333333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Juncaginaceae	Triglochin	concinnum	
