"","Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Source","URL"
"5103","Hesperiidae","Abantis meru","Asteraceae","Vernonia","EOL","http://eol.org/data_objects/23274332"
"16391","Hesperiidae","Abantis meru","Malvaceae","Hibiscus","BHL","http://www.biodiversitylibrary.org/page/41065049"
"16392","Hesperiidae","Abantis meru","Asteraceae","Vernonia","BHL","http://www.biodiversitylibrary.org/page/41065049"
"5091","Hesperiidae","Abantis paradisea","Euphorbiaceae","Bridelia cathartica","EOL","http://eol.org/data_objects/23196688"
"5092","Hesperiidae","Abantis paradisea","Malvaceae","Cola natalensis","EOL","http://eol.org/data_objects/23196688"
"5093","Hesperiidae","Abantis paradisea","Malvaceae","Hibiscus tiliaceus","EOL","http://eol.org/data_objects/23196688"
"5094","Hesperiidae","Abantis paradisea","Euphorbiaceae","Bridelia micrantha","EOL","http://eol.org/data_objects/23196688"
"5095","Hesperiidae","Abantis paradisea","Euphorbiaceae","Pseudolachnostylis maprouneifolia","EOL","http://eol.org/data_objects/23196688"
"5096","Hesperiidae","Abantis paradisea","Annonaceae","Annona","EOL","http://eol.org/data_objects/23196688"
"5097","Hesperiidae","Abantis paradisea","Euphorbiaceae","Bridelia","EOL","http://eol.org/data_objects/23196688"
"5098","Hesperiidae","Abantis paradisea","Malvaceae","Cola","EOL","http://eol.org/data_objects/23196688"
"5099","Hesperiidae","Abantis paradisea","Malvaceae","Hibiscus","EOL","http://eol.org/data_objects/23196688"
"5100","Hesperiidae","Abantis paradisea","Sapindaceae","Lecaniodiscus","EOL","http://eol.org/data_objects/23196688"
"5101","Hesperiidae","Abantis paradisea","Fabaceae","Lonchocarpus","EOL","http://eol.org/data_objects/23196688"
"5102","Hesperiidae","Abantis paradisea","Euphorbiaceae","Pseudolachnostylis","EOL","http://eol.org/data_objects/23196688"
"16434","Hesperiidae","Abantis paradisea","Malvaceae","Cola natalensis","BHL","http://www.biodiversitylibrary.org/page/7072894"
"16435","Hesperiidae","Abantis paradisea","Malvaceae","Cola natalensis","BHL","http://www.biodiversitylibrary.org/page/7072862"
"16436","Hesperiidae","Abantis paradisea","Malvaceae","Hibiscus tiliaceus","BHL","http://www.biodiversitylibrary.org/page/7072894"
"16437","Hesperiidae","Abantis paradisea","Malvaceae","Hibiscus tiliaceus","BHL","http://www.biodiversitylibrary.org/page/7072869"
"16438","Hesperiidae","Abantis paradisea","Annonaceae","Annona","BHL","http://www.biodiversitylibrary.org/page/39203227"
"16439","Hesperiidae","Abantis paradisea","Malvaceae","Cola","BHL","http://www.biodiversitylibrary.org/page/39203227"
"16440","Hesperiidae","Abantis paradisea","Malvaceae","Cola","BHL","http://www.biodiversitylibrary.org/page/7072894"
"16441","Hesperiidae","Abantis paradisea","Malvaceae","Cola","BHL","http://www.biodiversitylibrary.org/page/7072862"
"16442","Hesperiidae","Abantis paradisea","Malvaceae","Hibiscus","BHL","http://www.biodiversitylibrary.org/page/41065049"
"16443","Hesperiidae","Abantis paradisea","Malvaceae","Hibiscus","BHL","http://www.biodiversitylibrary.org/page/7072894"
"16444","Hesperiidae","Abantis paradisea","Malvaceae","Hibiscus","BHL","http://www.biodiversitylibrary.org/page/7072869"
"16445","Hesperiidae","Abantis paradisea","Malvaceae","Hibiscus","BHL","http://www.biodiversitylibrary.org/page/9495950"
"5088","Hesperiidae","Abantis tettensis","Malvaceae","Grewia flava","EOL","http://eol.org/data_objects/23196686"
"5089","Hesperiidae","Abantis tettensis","Malvaceae","Grewia monticola","EOL","http://eol.org/data_objects/23196686"
"5090","Hesperiidae","Abantis tettensis","Malvaceae","Grewia","EOL","http://eol.org/data_objects/23196686"
"9072","Riodinidae","Abisara echerius","Myrsinaceae","Embelia laeta","EOL","http://eol.org/data_objects/22561505"
"9073","Riodinidae","Abisara echerius","Myrsinaceae","Ardisia","EOL","http://eol.org/data_objects/22561505"
"9074","Riodinidae","Abisara echerius","Myrsinaceae","Embelia","EOL","http://eol.org/data_objects/22561505"
"9075","Riodinidae","Abisara neavei","Myrsinaceae","Maesa lanceolata","EOL","http://eol.org/data_objects/22700184"
"9076","Riodinidae","Abisara neavei","Myrsinaceae","Maesa","EOL","http://eol.org/data_objects/22700184"
"5866","Hesperiidae","Acada biseriata","Fabaceae","Brachystegia","EOL","http://eol.org/data_objects/22571044"
"15802","Hesperiidae","Achalarus lyciades","Fabaceae","Desmodium ciliare","BHL","http://www.biodiversitylibrary.org/page/41139597"
"15803","Hesperiidae","Achalarus lyciades","Fabaceae","Desmodium paniculatum","BHL","http://www.biodiversitylibrary.org/page/41024477"
"15804","Hesperiidae","Achalarus lyciades","Fabaceae","Desmodium paniculatum","BHL","http://www.biodiversitylibrary.org/page/41139597"
"15805","Hesperiidae","Achalarus lyciades","Fabaceae","Baptisia","BHL","http://www.biodiversitylibrary.org/page/41139597"
"15806","Hesperiidae","Achalarus lyciades","Fabaceae","Desmodium","BHL","http://www.biodiversitylibrary.org/page/41024477"
"15807","Hesperiidae","Achalarus lyciades","Fabaceae","Desmodium","BHL","http://www.biodiversitylibrary.org/page/41139633"
"15808","Hesperiidae","Achalarus lyciades","Fabaceae","Desmodium","BHL","http://www.biodiversitylibrary.org/page/41139597"
"15809","Hesperiidae","Achalarus lyciades","Fabaceae","Hedysarum","BHL","http://www.biodiversitylibrary.org/page/41024477"
"15810","Hesperiidae","Achalarus lyciades","Fabaceae","Indigofera","BHL","http://www.biodiversitylibrary.org/page/41139597"
"15811","Hesperiidae","Achalarus lyciades","Fabaceae","Lespedeza","BHL","http://www.biodiversitylibrary.org/page/41139633"
"15812","Hesperiidae","Achalarus lyciades","Fabaceae","Lespedeza","BHL","http://www.biodiversitylibrary.org/page/41139597"
"15556","Hesperiidae","Achalarus toxeus","Fabaceae","Pithecellobium","BHL","http://www.biodiversitylibrary.org/page/41139597"
"4834","Hesperiidae","Achlyodes busirus","Rutaceae","Zanthoxylum panamense","EOL","http://eol.org/data_objects/23023037"
"4835","Hesperiidae","Achlyodes busirus","Rutaceae","Zanthoxylum","EOL","http://eol.org/data_objects/23023037"
"16999","Hesperiidae","Achlyodes busirus","Rutaceae","Citrus","BHL","http://www.biodiversitylibrary.org/page/41139557"
"4836","Hesperiidae","Achlyodes mithridates","Rutaceae","Zanthoxylum fagara","EOL","http://eol.org/data_objects/12641071"
"4837","Hesperiidae","Achlyodes mithridates","Rutaceae","Zanthoxylum monophyllum","EOL","http://eol.org/data_objects/12641071"
"4838","Hesperiidae","Achlyodes mithridates","Rutaceae","Zanthoxylum","EOL","http://eol.org/data_objects/22482818"
"4839","Hesperiidae","Achlyodes mithridates","Rutaceae","Zanthoxylum","EOL","http://eol.org/data_objects/12641071"
"15680","Hesperiidae","Achlyodes mithridates","Rutaceae","Citrus","BHL","http://www.biodiversitylibrary.org/page/41110169"
"15681","Hesperiidae","Achlyodes mithridates","Rutaceae","Zanthoxylum","BHL","http://www.biodiversitylibrary.org/page/41110169"
"16233","Hesperiidae","Achlyodes munroei","Rutaceae","Zanthoxylum","BHL","http://www.biodiversitylibrary.org/page/41005563"
"5874","Hesperiidae","Acleros mackenii","Malpighiaceae","Acridocarpus","EOL","http://eol.org/data_objects/22644997"
"5875","Hesperiidae","Acleros mackenii","Anacardiaceae","Rhus","EOL","http://eol.org/data_objects/22644997"
"15561","Hesperiidae","Acleros mackenii","Malpighiaceae","Acridocarpus","BHL","http://www.biodiversitylibrary.org/page/41065049"
"15562","Hesperiidae","Acleros mackenii","Anacardiaceae","Rhus","BHL","http://www.biodiversitylibrary.org/page/41065049"
"2708","Nymphalidae","Acraea abdera","Salicaceae","Caloncoba","EOL","http://eol.org/data_objects/19842681"
"2699","Nymphalidae","Acraea acara","Passifloraceae","Adenia glauca","EOL","http://eol.org/data_objects/22842653"
"2700","Nymphalidae","Acraea acara","Passifloraceae","Passiflora edulis","EOL","http://eol.org/data_objects/22842653"
"2701","Nymphalidae","Acraea acara","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/22842653"
"2702","Nymphalidae","Acraea acara","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/22842653"
"2716","Nymphalidae","Acraea acrita","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/19223579"
"2717","Nymphalidae","Acraea acrita","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/19223579"
"2671","Nymphalidae","Acraea admatha","Violaceae","Rinorea","EOL","http://eol.org/data_objects/22723640"
"2724","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora edulis","EOL","http://eol.org/data_objects/19223832"
"2725","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/19223832"
"10509","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora edulis","BHL","http://www.biodiversitylibrary.org/page/7072874"
"10510","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora edulis","BHL","http://www.biodiversitylibrary.org/page/7072886"
"10511","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072874"
"10512","Nymphalidae","Acraea aglaonice","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072886"
"2646","Nymphalidae","Acraea andromacha","Violaceae","Hybanthus enneaspermus","EOL","http://eol.org/data_objects/17596844"
"2647","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora subpeltata","EOL","http://eol.org/data_objects/17596844"
"2648","Nymphalidae","Acraea andromacha","Passifloraceae","Adenia heterophylla","EOL","http://eol.org/data_objects/17596844"
"2649","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora mollissima","EOL","http://eol.org/data_objects/17596844"
"2650","Nymphalidae","Acraea andromacha","Passifloraceae","Passiflora suberosa","EOL","http://eol.org/data_objects/17596844"
"2651","Nymphalidae","Acraea andromacha","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/17596844"
"2652","Nymphalidae","Acraea andromacha","Violaceae","Hybanthus","EOL","http://eol.org/data_objects/17596844"
