"","Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Country","reference"
"27385","Pieridae","Hesperocharis anguitia","Santalales","'Loranthus'","Brazil","Braby & Nishida 2007"
"27386","Pieridae","Mathania carrizoi","Santalales","'Loranthus'","Argentina","Braby & Nishida 2007"
"27387","Pieridae","Mylothris agathina","Santalales","?Loranthus? spp.","Kenya, Tanzania, South Africa","Braby 2005"
"27388","Pieridae","Mylothris chloris","Santalales","?Loranthus? spp.","Kenya","Braby 2005"
"27389","Pieridae","Mylothris jacksoni","Santalales","?Loranthus? spp.","Tanzania, Kenya","Braby 2005"
"27390","Pieridae","Mylothris kiwuensis","Santalales","?Loranthus? spp.","Zaire-Rwanda","Braby 2005"
"27391","Pieridae","Mylothris nubila","Santalales","?Loranthus? spp.","Uganda","Braby 2005"
"27392","Pieridae","Mylothris ochracea","Santalales","?Loranthus? spp.","Western-central Africa","Braby 2005"
"27393","Pieridae","Mylothris rhodope","Santalales","?Loranthus? spp.","NE","Braby 2005"
"27394","Pieridae","Mylothris ruandana","Santalales","?Loranthus? spp.","Uganda","Braby 2005"
"27395","Pieridae","Mylothris rueppellii","Santalales","?Loranthus? spp.","Tanzania ? Kenya-Uganda, South Africa","Braby 2005"
"27396","Pieridae","Mylothris spica","Santalales","?Loranthus? spp.","Cameroon","Braby 2005"
"27397","Pieridae","Mylothris sulphurea","Santalales","?Loranthus? spp.","NE","Braby 2005"
"27526","Pieridae","Mylothris asphodelus","Loranthaceae","Agelanthus krausei","Tanzania","Braby 2005"
"27527","Pieridae","Mylothris agathina","Loranthaceae","Agelanthus kraussianus","South Africa","Braby 2005"
"27528","Pieridae","Mylothris trimenia","Loranthaceae","Agelanthus kraussianus","South Africa","Braby 2005"
"27529","Pieridae","Mylothris agathina","Loranthaceae","Agelanthus natalitius","South Africa","Braby 2005"
"27574","Pieridae","Delias argenthona","Loranthaceae","Amyema bifurcata","Australia","Braby 2006"
"27575","Pieridae","Delias nigrina","Loranthaceae","Amyema bifurcata","Australia","Braby 2006"
"27576","Pieridae","Delias argenthona","Loranthaceae","Amyema cambagei","Australia","Braby 2006"
"27577","Pieridae","Delias nigrina","Loranthaceae","Amyema cambagei","Australia","Braby 2006"
"27578","Pieridae","Delias aganippe","Loranthaceae","Amyema cambageni","Australia","Braby 2006"
"27579","Pieridae","Delias harpalyce","Loranthaceae","Amyema congener","Australia","Braby 2006"
"27580","Pieridae","Delias nigrina","Loranthaceae","Amyema congener","Australia","Braby 2006"
"27581","Pieridae","Delias madetes","Loranthaceae","Amyema friesiana","Papua New Guinea","Braby 2006"
"27582","Pieridae","Delias aganippe","Loranthaceae","Amyema linophylla","Australia","Braby 2006"
"27583","Pieridae","Delias nigrina","Loranthaceae","Amyema lucasii","Australia","Braby 2006"
"27584","Pieridae","Delias aganippe","Loranthaceae","Amyema melaleucae","Australia","Braby 2006"
"27585","Pieridae","Delias aganippe","Loranthaceae","Amyema miquelii","Australia","Braby 2006"
"27586","Pieridae","Delias argenthona","Loranthaceae","Amyema miquelii","Australia","Braby 2006"
"27587","Pieridae","Delias harpalyce","Loranthaceae","Amyema miquelii","Australia","Braby 2006"
"27588","Pieridae","Delias nigrina","Loranthaceae","Amyema miquelii","Australia","Braby 2006"
"27589","Pieridae","Delias argenthona","Loranthaceae","Amyema pendula","Australia","Braby 2006"
"27590","Pieridae","Delias harpalyce","Loranthaceae","Amyema pendula","Australia","Braby 2006"
"27591","Pieridae","Delias aganippe","Loranthaceae","Amyema preissii","Australia","Braby 2006"
"27592","Pieridae","Delias harpalyce","Loranthaceae","Amyema preissii","Australia","Braby 2006"
"27593","Pieridae","Delias aganippe","Loranthaceae","Amyema quandang","Australia","Braby 2006"
"27594","Pieridae","Delias argenthona","Loranthaceae","Amyema quandang","Australia","Braby 2006"
"27595","Pieridae","Delias harpalyce","Loranthaceae","Amyema quandang","Australia","Braby 2006"
"27596","Pieridae","Delias nigrina","Loranthaceae","Amyema quandang","Australia","Braby 2006"
"27597","Pieridae","Delias argenthona","Loranthaceae","Amyema sanguinea","Australia","Braby 2006"
"27598","Pieridae","Delias iltis","Loranthaceae","Amyema wichmannii","Papua New Guinea","Braby 2006"
"27599","Pieridae","Delias luctuosa","Loranthaceae","Amyema wichmannii","Papua New Guinea","Braby 2006"
"27600","Pieridae","Delias nigrina","Loranthaceae","Amylotheca dictyophleba","Australia","Braby 2006"
"27618","Pieridae","Catasticta hegemon","Santalaceae","Antidaphne viscoidea","Costa Rica","Braby & Nishida 2010"
"27619","Pieridae","Catasticta sisamnus","Santalaceae","Antidaphne viscoidea","Costa Rica","Braby & Nishida 2010"
"27620","Pieridae","Catasticta ctemene","Santalaceae","Antidaphne viscoidea","Costa Rica","Braby & Nishida 2010"
"27621","Pieridae","Catasticta theresa","Santalaceae","Antidaphne viscoidea","Costa Rica","Braby & Nishida 2010"
"27622","Pieridae","Pereute cheops","Santalaceae","Antidaphne viscoidea","Costa Rica","Braby & Nishida 2010"
"27734","Pieridae","Delias nigrina","Loranthaceae","Benthamina alyxifolia","Australia","Braby 2006"
"28038","Pieridae","Delias totila","Santalaceae","Cladomyza kaniensis","Papua New Guinea","Braby 2006"
"28064","Pieridae","Mylothris agathina","Santalaceae","Colpoon compressum","South Africa","Braby 2005"
"28165","Pieridae","Delias argenthona","Loranthaceae","Decaisnina hoffrungii","Papua New Guinea","Braby 2006"
"28166","Pieridae","Delias argenthona","Loranthaceae","Decaisnina signata","Australia","Braby 2006"
"28178","Pieridae","Delias argenthona","Loranthaceae","Dendrophthoe curvata","Australia","Braby 2006"
"28179","Pieridae","Delias mysis","Loranthaceae","Dendrophthoe curvata","Australia","Braby 2006"
"28180","Pieridae","Delias nigrina","Loranthaceae","Dendrophthoe curvata","Australia","Braby 2006"
"28181","Pieridae","Delias eucharis","Loranthaceae","Dendrophthoe falcata","India","Braby 2006"
"28182","Pieridae","Delias hyparete","Loranthaceae","Dendrophthoe falcata","Andaman and Nicobar Islands","Braby 2006"
"28183","Pieridae","Delias argenthona","Loranthaceae","Dendrophthoe glabrescens","Australia","Braby 2006"
"28184","Pieridae","Delias mysis","Loranthaceae","Dendrophthoe glabrescens","Australia","Braby 2006"
"28185","Pieridae","Delias aruna","Loranthaceae","Dendrophthoe glabrescens","Australia","Braby 2006"
"28186","Pieridae","Delias nigrina","Loranthaceae","Dendrophthoe glabrescens","Australia","Braby 2006"
"28187","Pieridae","Delias belladonna","Loranthaceae","Dendrophthoe longiflora",NA,"Braby 2006"
