Season,Month,Day,Year,Region,Habitat,Site,Predator Family,Predator Species,TL (mm),Call #,Stomach Fullness Index,Prey Item Phylum (Division),Prey Item Class,Prey Item Order, Prey Item Family,Prey item,Number,Condition Index,Volume (ml??),Percent Content
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,225,1,2,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassidae,2,I,1.0000,29.41
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,225,1,2,Arthropoda,Malacostraca,Decapoda,,Crab parts,1,III,1.0000,29.41
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,225,1,2,,,,,Digestate,1,IV,1.2000,35.29
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,225,1,2,Vertebrata,Actinopterygii,,,Fish scale,1,III,0.0200,0.59
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,225,1,2,Mollusca,Gastropoda,,,Gastropod operculum,2,III,0.0300,0.88
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,225,1,2,Arthropoda,Insecta,Hymenoptera,,Hymenoptera ,1,III,0.1000,2.94
Summer,7,25,2006,Upper,Marsh edge ,1,Ariidae,Arius felis,225,1,2,Mollusca,Bivalvia,Mytiloida,Mytilidae,Ischadium recurvum�,1,I,0.0500,1.47
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,167,2,2,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes sapidus,4,I,0.5000,43.44
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,167,2,2,,,,,Digestate,1,IV,0.0750,6.52
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,167,2,2,,,,,Eggs,34,I,0.1000,8.69
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,167,2,2,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae�,Erichtonius brasiliensis,4,I,0.0040,0.35
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,167,2,2,Arthropoda,Insecta,Hymenoptera,,Hymenoptera ,1,III,0.0200,1.74
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,167,2,2,Arthropoda,Malacostraca,Decapoda,,Larval shrimp,1,I,0.0010,0.09
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,167,2,2,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemonetes vulgaris,2,I,0.4000,34.75
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,167,2,2,Chrodata,,,,Parasite,2,I,0.0010,0.09
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,167,2,2,Arthropoda,Malacostraca,Decapoda,Xanthidae,Xanthidae,1,I,0.0500,4.34
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,297,3,1,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassidae,3,I,0.6000,33.13
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,297,3,1,,,,,Digestate,1,IV,1.2000,66.26
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,297,3,1,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae�,Erichtonius brasiliensis,1,I,0.0010,0.06
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,297,3,1,Mollusca,Gastropoda,,,Gastropod operculum,1,III,0.0010,0.06
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,297,3,1,Arthropoda,Malacostraca,Mysida,,Mysidae,1,I,0.0010,0.06
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,297,3,1,Chrodata,,,,Parasite,8,I,0.0080,0.44
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,276,4,2,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassidae,2,I,4.5000,66.95
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,276,4,2,,,,,Digestate,1,IV,2.2000,32.73
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,276,4,2,Chrodata,,,,Parasite,10,I,0.0200,0.30
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,276,4,2,Annelida,Polychaeta,Canalipalpata,Pectinariidae,Pectinariidae ,1,III,0.0010,0.01
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,214,5,2,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassidae claw,2,II,0.2000,15.33
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,214,5,2,Arthropoda,Malacostraca,Decapoda,,Decapod legs,2,III,0.8000,61.30
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,214,5,2,,,,,Digestate,1,IV,0.2000,15.33
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,214,5,2,Vertebrata,Actinopterygii,,,Fish scale,1,III,0.0040,0.31
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,214,5,2,Arthropoda,Malacostraca,Decapoda,Panopeidae�,Neopanope texana,1,I,0.1000,7.66
Summer,7,25,2006,Upper,Marsh edge,1,Ariidae,Arius felis,214,5,2,Chrodata,,,,Parasite,2,I,0.0010,0.08
Summer,7,25,2006,Upper,Marsh edge,1,Polynemidae,Polydactylus octonemus,203,6,1,Arthropoda,Malacostraca,Mysida,,Mysidae,11,I,0.0400,7.41
Summer,7,25,2006,Upper,Marsh edge,1,Polynemidae,Polydactylus octonemus,203,6,1,Arthropoda,Malacostraca,Decapoda,Peneaidae,Penaeid shrimp,3,I,0.5000,92.59
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,294,7,2,Arthropoda,Malacostraca,Decapoda,Callianassidae,Callianassidae claw,1,II,0.5000,17.12
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,294,7,2,,,,,Digestate,1,IV,2.0000,68.47
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,294,7,2,Vertebrata,Actinopterygii,,,Fish parts,1,II,0.4000,13.69
Summer,7,25,2006,Upper,Marsh edge,2,Ariidae,Arius felis,294,7,2,Arthropoda,Malacostraca,Mysida,,Mysidae,4,II,0.0010,0.03
