"Region","Season","Habitat","Site","Family","Predator Species","TL","Prey Item Species","Prey item","Number","Condition Index","Volume","Percent Content","Prey Item Trophic Level","Notes"
"Lower","Fall","Marsh",1,"Sciaenidae","Sciaenops ocellatus",420,"Acrididae spp. ","Acrididae ",1,"III",0.4,3.2520325203,2.5,
"Lower","Spring","Non-Veg ",1,"Ariidae","Arius felis",176,"Aegathoa oculata ","Aegathoa oculata",4,"I",0.01,3.3333333333,2.1,
"Lower","Summer","Non-Veg ",1,"Ariidae","Bagre marinus",218,"Aegathoa oculata ","Aegathoa oculata",1,"I",0.01,0.1661129568,2.1,
"Upper","Spring","Non-Veg ",1,"Ariidae","Bagre marinus",405,"Aegathoa oculata ","Aegathoa oculata",1,"I",0.1,33.3333333333,2.1,
"Lower","Fall","Marsh",1,"Sciaenidae","Bairdiella chrysoura",196,"Aegathoa oculata ","Aegathoa oculata",1,"II",0.01,0.7874015748,2.1,
"Lower","Summer","Reef",1,"Carangidae ","Caranx hippos",146,"Aegathoa oculata ","Aegathoa oculata",1,"I",0.02,4.7619047619,2.1,
"Upper","Summer","Reef",2,"Carangidae ","Caranx hippos",153,"Aegathoa oculata ","Aegathoa oculata",1,"I",0.05,33.3333333333,2.1,
"Upper","Summer","Non-Veg ",2,"Ariidae","Arius felis",231,"Algae","Algae",1,"IV",0.2,37.037037037,1,
"Lower","Summer","Marsh",1,"Ariidae","Arius felis",295,"Alpheus heterochaelis","Alpheus heterochaelis",1,"I",0.2,7.3800738007,2.255,
"Upper","Summer","Non-Veg ",2,"Ariidae","Arius felis",272,"Alpheus heterochaelis","Alpheus heterochaelis",1,"I",0.2,28.5714285714,2.255,
"Upper","Summer","Reef",2,"Ariidae","Arius felis",238,"Alpheus heterochaelis","Alpheus heterochaelis",1,"III",0.1,8.6956521739,2.255,
"Lower","Fall","Marsh",2,"Sciaenidae","Sciaenops ocellatus",355,"Alpheus heterochaelis","Alpheus heterochaelis",2,"I",1.3,23.0905861456,2.255,
