original_id,original_name,corrected_id,corrected_name
GOMEXSI:NA,NA,GLOBI:UNKNOWN,UNKNOWN
GOMEXSI:parts,parts,GLOBI:UNKNOWN,UNKNOWN
GOMEXSI:pieces,parts,GLOBI:UNKNOWN,UNKNOWN
GOMEXSI:fragments,fragments,GLOBI:UNKNOWN,UNKNOWN
GOMEXSI:scales,scales,UBERON:0002542,scale
GOMEXSI:scale(s),scale(s),UBERON:0002542,scale
GOMEXSI:bone,bone,UBERON:0002481,bone tissue
GOMEXSI:tube,tube,GLOBI:TUBE,TUBE
GOMEXSI:spine,spine,GLOBI:SPINE,SPINE
GOMEXSI:pollen_grain,pollen grain,GLOBI:POLLEN_GRAIN,POLLEN_GRAIN
GOMEXSI:opercula,opercula,GLOBI:OPERCULUM,OPERCULUM
GOMEXSI:caudal_spines,caudal_spines,GLOBI:CAUDAL_SPINE,CAUDAL_SPINE
GOMEXSI:shell,shell,UBERON:0006612,shell
GOMEXSI:needles,needles,GLOBI:NEEDLE,NEEDLE
GOMEXSI:seed_pod,seed pod,GLOBI:SEED_POD,SEED_POD
GOMEXSI:kernels,kernels,GLOBI:KERNEL,KERNEL
GOMEXSI:wood,wood,GLOBI:WOOD,WOOD
GOMEXSI:feather,feather,UBERON:0000022,feather
