original_id,original_name,corrected_id,corrected_name
GLOBI:WOOD,wood,ENVO:00002040,WOOD
GLOBI:WOOD,WOOD,ENVO:00002040,wood
,wings,UBERON:0000023,wing
,wing,UBERON:0000023,wing
,visceral ligaments,UBERON:0011237,visceral fascia
,ventriculus,UBERON:0002082,cardiac ventricle
,vena cava,UBERON:0004087,vena cava
,vegetation,ENVO:01000355,vegetation layer
,urine,UBERON:0001088,urine
,urinary bladder,UBERON:0001255,urinary bladder
GOMEXSI:tube,tube,GLOBI:TUBE,TUBE
,trunk,UBERON:0002100,trunk
,trachea,UBERON:0003126,trachea
,torso,GLOBI:torso,torso
,tissue,UBERON:0000479,tissue
,throat,UBERON:0000341,throat
,telson,GLOBI:telson,telson
,swim bladder,UBERON:0006860,swim bladder
,subcutaneous tissue,UBERON:0002190,subcutaneous
,subcutaneous,UBERON:0002190,subcutaneous
,stomach wall (encysted),UBERON:0001167,wall of stomach
,stomach wall (cysts),UBERON:0001167,wall of stomach
,stomach #1,UBERON:0000945,stomach
,stomach,UBERON:0000945,stomach
,spleen,UBERON:0002106,spleen
,spiral valve,UBERON:0010016,spiral valve of intestine
,spiral intestine,UBERON:0010016,spiral valve of intestine
GOMEXSI:spine,spine,GLOBI:SPINE,SPINE
,small intestine,UBERON:0002108,small intestine
,sm intestine,UBERON:0002108,small intestine
,skull,UBERON:0003129,skull
,skin,UBERON:0002097,skin of body
,skeletal muscle,UBERON:0001134,skeletal muscle tissue
,sinus(es),FMA:76587,set of paranasal sinuses
,si,UBERON:0002108,small intestine
GOMEXSI:shell,shell,UBERON:0006612,shell
GOMEXSI:seed_pod,seed pod,GLOBI:SEED_POD,SEED_POD
,seed,PO:0009010,seed
GOMEXSI:scales,scales,UBERON:0002542,scale
GOMEXSI:scale(s),scale(s),UBERON:0002542,scale
,scale,UBERON:0002542,scale
,saliva,UBERON:0001836,saliva
,rumen,UBERON:0007365,rumen
GLOBI:root,root,PO:0009005,root
,right cranial sinus,UBERON:0001760,frontal sinus
,reticulum,UBERON:0007361,ruminant reticulum
,renal,UBERON:0002113,kidney
,redia in gonads,UBERON:0000991,gonad
,rectum,UBERON:0001052,rectum
,proventriculus,UBERON:0007357,proventriculus
,posterior intestine,UBERON:0000160,intestine
GOMEXSI:pollen_grain,pollen grain,GLOBI:POLLEN_GRAIN,POLLEN_GRAIN
,plant leaf,PO:0025034,leaf
,Pharyngeal tooth,UBERON:2001647,pharyngeal tooth plate
GOMEXSI:parts,parts,GLOBI:UNKNOWN,UNKNOWN
GOMEXSI:pieces,parts,GLOBI:UNKNOWN,UNKNOWN
,pancreas,UBERON:0001264,pancreas
,ovary,UBERON:0000992,ovary
,otoliths,UBERON:0002280,otolith
,otolith,UBERON:0002280,otolith
,operculum,GLOBI:operculum,operculum
GOMEXSI:opercula,opercula,GLOBI:OPERCULUM,OPERCULUM
,omentum,UBERON:0003688,omentum
,omasum,UBERON:0007362,omasum
GLOBI:NEEDLE,NEEDLE,PO:0009025,vascular leaf
,nasal fossae,NCIT:C12424,nasal cavity
,nasal cavities,UBERON:0001707,nasal cavity
,nares,UBERON:0000003,naris
GOMEXSI:NA,NA,GLOBI:UNKNOWN,UNKNOWN
,musculature,UBERON:0001015,musculature
,mouth,UBERON:0000165,mouth
,mesentery,UBERON:0002095,mesentery
,mesenteries,UBERON:0002095,mesentery
,meninges,UBERON:0003547,brain meninx
