original_id,original_name,corrected_id,corrected_name
GOMEXSI:zoea,zoea,UBERON:0000069,larval stage
BAREMORE:Yoy/Juv,Yoy/Juv,GLOBI:YOUNG_OF_THE_YEAR_OR_JUVENILE,YOUNG_OF_THE_YEAR_OR_JUVENILE
BAREMORE:Yoy,Yoy,GLOBI:YOUNG_OF_THE_YEAR,YOUNG_OF_THE_YEAR
BAREMORE:YOY,YOY,GLOBI:YOUNG_OF_THE_YEAR,YOUNG_OF_THE_YEAR
,young of year,http://purl.obolibrary.org/obo/PATO_0000309,young
,young,http://purl.obolibrary.org/obo/PATO_0000309,young
GLOBI:VELIGER,veligers,http://purl.obolibrary.org/obo/UBERON_0014863,veliger stage
GLOBI:VELIGER,VELIGER,http://purl.obolibrary.org/obo/UBERON_0014863,veliger stage
,Vegetative,http://purl.obolibrary.org/obo/PO_0000058,vegetative bud
BIO_INFO:uredium,uredium,GLOBI:UREDIUM,UREDIUM
BAREMORE:Trans/Juv,Trans/Juv,GLOBI:TRANS_OR_JUVENILE,TRANS_OR_JUVENILE
BAREMORE:Trans,Trans,GLOBI:TRANS,TRANS
BIO_INFO:telium,telium,GLOBI:TELIUM,TELIUM
,Teleutospores,http://purl.obolibrary.org/obo/FAO_0000022,teliospore
,statoblasts,http://purl.obolibrary.org/obo/PORO_0000553,statoblast
BIO_INFO:sporangium,sporangium,GLOBI:SPORANGIUM,SPORANGIUM
,seeds,http://purl.obolibrary.org/obo/PO_0009010,seed
,Seedling,http://purl.obolibrary.org/obo/PO_0008037,seedling
,seed,http://purl.obolibrary.org/obo/PO_0009010,seed
,reproductive,http://purl.obolibrary.org/obo/GO_0022414,reproductive process
BIO_INFO:pycnium,pycnium,GLOBI:PYCNIUM,PYCNIUM
,pupal case,http://purl.obolibrary.org/obo/UBERON_0018657,pupal case
,Pupal Case,http://purl.obolibrary.org/obo/UBERON_0018657,pupal case
,pupae,http://purl.obolibrary.org/obo/UBERON_0003143,pupa
,pupa,http://purl.obolibrary.org/obo/UBERON_0003143,pupa
,Pupa,http://purl.obolibrary.org/obo/UBERON_0003143,pupa
BARNES:postlarva/juvenile,postlarva/juvenile,GLOBI:POSTLARVA_OR_JUVENILE,POSTLARVA_OR_JUVENILE
BARNES:postlarva,postlarva,GLOBI:POSTLARVA,POSTLARVA
GOMEXSI:post-larvae,post-larvae,GLOBI:POSTLARVA,POSTLARVA
GOMEXSI:post larvae,post larvae,GLOBI:POSTLARVA,POSTLARVA
,paralarva,http://purl.obolibrary.org/obo/CEPH_0000194,paralarval stage
