"study","predator", "length(mm)","prey", "latitude", "longitude", "altitude"
"mississippiAlabamaFishDiet.csv.gz","Rhynchoconger flavus",250.5,"Ampelisca",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Halieutichthys aculeatus",38.0,"Ampelisca",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Syacium papillosum",125.5,"Ampelisca",29.381037428487947,-88.11410162639304,-60.0
"mississippiAlabamaFishDiet.csv.gz","Trichopsetta ventralis",63.0,"Ampelisca",29.413327990886586,-88.11562973110424,-60.0
"mississippiAlabamaFishDiet.csv.gz","Symphurus plagiusa",113.0,"Ampelisca",30.02893121980967,-88.61320102812385,-20.0
"mississippiAlabamaFishDiet.csv.gz","Coelorinchus caribbaeus",88.0,"Ampelisca agassizi",29.23155307958495,-88.1286172185767,-200.0
"mississippiAlabamaFishDiet.csv.gz","Stenotomus caprinus",63.0,"Ampelisca agassizi",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Polydactylus octonemus",88.0,"Ampelisca agassizi",30.05031931129508,-88.62896451661447,-20.0
"mississippiAlabamaFishDiet.csv.gz","Bellator militaris",63.0,"Ampelisca agassizi",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus roseus",88.0,"Ampelisca agassizi",30.063234820699723,-88.14597684263826,-20.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus roseus",113.0,"Ampelisca agassizi",29.727274969946546,-87.3961130170265,-60.0
"mississippiAlabamaFishDiet.csv.gz","Prionotus stearnsi",63.0,"Ampelisca agassizi",29.43874564840787,-88.56632567024258,-60.0
"mississippiAlabamaFishDiet.csv.gz","Etropus rimosus",38.0,"Ampelisca agassizi",29.381037428487947,-88.11410162639304,-60.0
"mississippiAlabamaFishDiet.csv.gz","Etropus rimosus",63.0,"Ampelisca agassizi",29.407147932721056,-88.11055993495799,-60.0
"mississippiAlabamaFishDiet.csv.gz","Etropus rimosus",88.0,"Ampelisca agassizi",30.063234820699723,-88.14597684263826,-20.0
