,"Fish No","Fish Species","Date ",,"Site ","SL(mm)","Stomach volume","Stomach status","C. Method","Detritus","Sand","Diatoms","Centric diatoms","Pennate diatoms","Oscillatoria ","Filamentous algae","Green algae","Other blue green algae","Unicellular green algae","Brown algae","Golden brown algae","Nostocales (Blue green algae)","Chara","Ruppia maritima","Other macrophytes","Seeds","Invertebrate eggs ","Fish bones","Lucania parva eggs","Other fish eggs","Catfish egg","Unidentified bone","Fish eyes","Fish otolith","Ctenoid fish scale","Cycloid fish scale","Dinoflagellates (Noctiluca spp.)","Protozoa","Bivalvia","Gastropoda","Nematode","Nemotode(Parasite)","Calanoida copepoda","Harpacticoida copepoda","Copepoda nauplii","Cyclopoid copepoda","Cladocera","Rotifera","Unidefined zooplankton","Chironomidae larvae","Diptera 1","Diptera 2","Diptera midges(pupa)","Polycheate worm","Other annelid worms","Amphipoda(Gammarus spp.)","Corophium sp(amphipoda)","Decopoda larvae","Isopoda","Unidentified invertebrate","Other Ephemeroptera(Mayfly)","Ephemeroptera(Baetidae)","Coleoptera","Other Hymenoptera","Odonate","Damselfly","Other Thrips","Thysanoptera (thrips)","Pteromalitidae(Hymenoptera)","Hemiptera","Homoptera","Unidentified insect larvae","Arachnida ","Unidentified insects","Mollusks (Oyster)","Other Mollusks","Ostracoda","Brachyura (Crab zoea)","Mysidacea","Penneid shrimp post larvae","Unidentified shrimp","Palaemonotes pugio","Peneaus setiferus","Peneaus aztecus","Callinectes sapidus","Other crabs","Neopunope sayi(mud crab)","Myrophis punctatus (speckled worm eel)","Mugil cephalus","Brevoortia patronus","Lepisosteus osseus ","Fundulus  grandis","Other fundulus species","Cyprinodon variegatus","Pogonias cromis","Menidia beryllina","Anchoa mitchilli","Other Sciaenidae species","Lagodon rhomboides","Arius felis","Leiostomus xanthurus","Gobiosoma bosc","Lucania parva","Micropogonias undulatus","Cynoscion nebulosus","Poecilia latipinna","Unidentified fish","Unidentified fish larvae","Other Gobiidae ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Pogonias cromis","03.07.98",,1,226,3,,"Gillnet",,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.45,,,,,,,,,,,,,,,,,,1.35,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Pogonias cromis","03.07.98",,6,13.9,0.008,,"Seine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Pogonias cromis","10.03.98",,3,345,2,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Pogonias cromis","10.03.98",,4,405,0,"Empty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Pogonias cromis","10.03.98",,5,352,4,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Pogonias cromis","10.03.98",,5,229,0.4,,"Gillnet",0.22,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Pogonias cromis","10.03.98",,5,235,0.8,,"Gillnet",0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"Pogonias cromis","10.03.98",,6,210,1.3,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"Pogonias cromis","10.03.98",,6,218,1,,"Gillnet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
