PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
1	1	1	1	21	2	21	2	21.1	2.1	18	detritivory	inferred							
1	1	1	1	21	6	21	6	21.1	6.1	1	predation	inferred							
0	0	1	1	24	2	24	2	24.1	2.1	18	detritivory	modeled							
1	0	1	1	25	2	25	2	25.1	2.1	18	detritivory	observed							
0	1	1	1	26	2	26	2	26.1	2.1	18	detritivory	modeled							
0	1	1	1	29	2	29	2	29.1	2.1	18	detritivory	modeled							
0	0	1	1	34	24	34	24	34.1	24.1	1	predation	modeled							
0	0	1	1	34	25	34	25	34.1	25.1	1	predation	modeled							
0	0	1	1	34	26	34	26	34.1	26.1	1	predation	modeled							
0	0	1	1	34	35	34	35	34.1	35.1	1	predation	modeled							
0	0	1	1	34	36	34	36	34.1	36.1	1	predation	modeled							
0	0	1	1	34	37	34	37	34.1	37.1	1	predation	modeled							
0	0	1	1	34	38	34	38	34.1	38.1	1	predation	modeled							
0	0	1	1	34	39	34	39	34.1	39.1	1	predation	modeled							
0	0	1	1	34	40	34	40	34.1	40.1	1	predation	modeled							
0	0	1	1	34	41	34	41	34.1	41.1	1	predation	modeled							
0	0	1	1	34	42	34	42	34.1	42.1	1	predation	modeled							
0	0	1	1	34	43	34	43	34.1	43.1	1	predation	modeled							
0	0	1	1	34	45	34	45	34.1	45.1	1	predation	modeled							
0	0	1	1	34	262	34	216	34.1	216.1	14	concurrent predation on symbionts	inferred							
0	0	1	1	34	406	34	233	34.1	233.4	14	concurrent predation on symbionts	inferred							
0	0	1	1	34	414	34	246	34.1	246.4	14	concurrent predation on symbionts	inferred							
0	0	1	1	34	417	34	250	34.1	250.4	14	concurrent predation on symbionts	inferred							
0	0	1	1	34	427	34	260	34.1	260.4	14	concurrent predation on symbionts	inferred							
1	1	1	1	35	2	35	2	35.1	2.1	18	detritivory	observed							
0	0	1	1	36	2	36	2	36.1	2.1	18	detritivory	modeled							
0	0	1	1	37	2	37	2	37.1	2.1	18	detritivory	modeled							
0	0	1	1	38	2	38	2	38.1	2.1	18	detritivory	modeled							
0	0	1	1	39	2	39	2	39.1	2.1	18	detritivory	modeled							
0	0	1	1	40	2	40	2	40.1	2.1	18	detritivory	modeled							
0	0	1	1	41	2	41	2	41.1	2.1	18	detritivory	modeled							
0	0	1	1	42	2	42	2	42.1	2.1	18	detritivory	modeled							
0	0	1	1	43	2	43	2	43.1	2.1	18	detritivory	modeled							
0	0	1	1	43	21	43	21	43.1	21.1	1	predation	modeled							
0	0	1	1	43	49	43	24	43.1	24.2	1	predation	modeled							
0	0	1	1	43	50	43	25	43.1	25.2	1	predation	modeled							
0	0	1	1	43	51	43	26	43.1	26.2	1	predation	modeled							
0	0	1	1	43	54	43	29	43.1	29.2	1	predation	modeled							
0	0	1	1	43	59	43	34	43.1	34.2	1	predation	modeled							
0	0	1	1	43	60	43	36	43.1	36.2	1	predation	modeled							
0	0	1	1	43	61	43	37	43.1	37.2	1	predation	modeled							
0	0	1	1	43	62	43	38	43.1	38.2	1	predation	modeled							
0	0	1	1	43	63	43	39	43.1	39.2	1	predation	modeled							
0	0	1	1	43	64	43	40	43.1	40.2	1	predation	modeled							
0	0	1	1	43	65	43	41	43.1	41.2	1	predation	modeled							
0	0	1	1	43	66	43	42	43.1	42.2	1	predation	modeled							
0	0	1	1	43	67	43	43	43.1	43.2	1	predation	modeled							
0	0	1	1	43	69	43	45	43.1	45.2	1	predation	modeled							
0	0	1	1	43	106	43	66	43.1	66.2	1	predation	modeled							
0	0	1	1	43	132	43	92	43.1	92.1	1	predation	modeled							
0	0	1	1	43	140	43	100	43.1	100.1	1	predation	modeled							
0	0	1	1	43	144	43	104	43.1	104.1	1	predation	modeled							
0	0	1	1	43	353	43	233	43.1	233.3	15	trophic transmission	modeled							
