System	NodeID	SpeciesID	StageID	Stage	SpeciesID.StageID	WorkingName	OrganismalGroup	NodeType	Resolution	ResolutionNotes	Feeding	Lifestyle(stage)	Lifestyle(species)	ConsumerStrategy(stage)	HabitatAffiliation	Mobility	Residency	NativeStatus	BodySize(g)	BodySizeSD	BodySizeN	BodySizeEstimation	BodySizeNotes	Abundance(no./ha)	Abundance95%CL	AbundanceDF	Biomass(kg/ha)	Biomass95%CL	BiomassDF	BiomassEstimation	BiomassNotes	Kingdom	Phylum	Subphylum	Superclass	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Genus	SpecificEpithet	NodeNotes
CSM	1	1	1		1.1	carrion-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										0.0758358			field experience	estimate set = to SNEG														
CSM	2	2	1		2.1	marine-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										239.53333			field experience	estimate 1/10 terrestrial detritus														
CSM	3	3	1		3.1	terrestrial-detritus	detritus	detritus			nonfeeding	non-living	non-living			low	resident										2395.3333			quantification, estuary-wide sampling	Kuris et al. (2008)														
CSM	5	5	1	adult	5.1	Salt Grass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										475.33333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Poaceae	Distichlis	spicata	
CSM	6	6	1	adult	6.1	epipellic flora	microphytobenthos	taxon	assemblage	aggregated diverse assemblage of diatoms and cyanobacteria	autotroph	free-living	free-living	autotroph		low	resident										296.72			quantification, limited sampling	diatom samples from 3 csm channel sites and 4 csm flat sites (J. Lorda, unpublished)														
CSM	7	7	1	adult	7.1	Alkali Heath	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										900			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Frankeneaceae	Frankenia	salina	
CSM	8	8	1	adult	8.1	Fleshy Jaumea	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										4488.6667			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Asteraceae	Jaumea	carnosa	
CSM	9	9	1	adult	9.1	California Sea Lavender	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										120.66667			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Plumbaginaceae	Limonium	californicum	
CSM	10	10	1	adult	10.1	macroalgae	macroalgae	taxon	assemblage	mostly the chlorophytes, Enteromorpha and Ulva	autotroph	free-living	free-living	autotroph		low	resident										256.49524			approximation, quantified ratio	abundance in point count transects relative to Jaumaea carnosa X Jc biomass X 0.10	Plantae													
CSM	11	11	1	adult	11.1	Shore Grass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										1272			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Poaceae	Monanthocloe	littoralis	
CSM	12	12	1	adult	12.1	phytoplankton	vascular plant	taxon	assemblage		autotroph	free-living	free-living	autotroph		low	resident										1527.7309			extrapolation from other estuary	densities from epb	Plantae													
CSM	13	13	1	adult	13.1	roots	vascular plant	taxon	assemblage		autotroph	free-living	free-living	autotroph		low	resident										180512.5			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae													
CSM	16	16	1	adult	16.1	Pickleweed	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										38428.267			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Chenopodiaceae	Salicornia	virginica	
CSM	21	21	1	adult	21.1	foraminiferan	protist	taxon	Species		feeding	free-living	free-living	predator		low	resident		2.43329e-5		10	species	volumetric				0.1433138			quantification, limited sampling	csm plankton cores (5 channel and 1 pan site)	"Protozoa"	Foraminifera												in plankton samples
CSM	25	25	1	adult	25.1	Capitella capitata	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00288468	0.00121467	75	population	individuals encountered during the random sampling described in Kuris et al. (2008)	900311.49	919906.184	5.7767887	2.6102455	2.74156457	5.95411787	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta						Capitellidae	Capitella	capitata	
CSM	35	35	1	adult	35.1	oligochaete	annelid	taxon	Class		feeding	free-living	free-living	detritivore		low	resident		0.00114			approximation	literature (size of Tubificoides denouxi, Shirley & Loden 1982)									Animalia	Annelida			Oligocheate									
